COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
1100015,RO,180,481.6511111111111,505.16555555555556,483.5061111111111,507.8488888888889,629.7777777777778,521.5898888888889,ALTA FLORESTA D'OESTE,1.732490272373541,1
1100023,RO,1068,475.7609550561798,502.43192883895136,487.62780898876406,514.1350187265917,609.9063670411985,517.972415730337,ARIQUEMES,1.9493514515132797,1
1100049,RO,1289,489.7858805275407,515.289138867339,497.2966640806827,528.1507370054306,633.3747090768037,532.7794259115593,CACOAL,2.156100795755968,1
1100056,RO,204,473.09656862745095,497.3254901960784,478.1764705882353,496.4887254901961,613.0392156862745,511.62529411764706,CEREJEIRAS,1.9419475655430711,1
1100064,RO,173,484.414450867052,515.6202312138729,491.88959537572254,534.3780346820809,612.2543352601156,527.7113294797688,COLORADO DO OESTE,2.3329694323144103,1
1100098,RO,266,475.6515037593985,495.0815789473685,482.109022556391,515.6804511278195,610.6766917293234,515.8398496240602,ESPIGÃO D'OESTE,1.569015444015444,1
1100106,RO,784,457.47525510204076,483.85242346938776,470.8654336734694,483.9094387755102,563.4948979591836,491.91948979591837,GUAJARÁ-MIRIM,1.4533361486486487,0
1100114,RO,559,473.81305903398925,501.5001788908765,478.76189624329163,499.169946332737,602.3255813953489,511.11413237924864,JARU,1.7928496319663512,1
1100122,RO,1437,476.99116214335425,500.7061934585943,483.1414752957551,509.4821155184412,602.8531663187196,514.6348225469729,JI-PARANÁ,2.066688006828852,1
1100130,RO,224,469.58482142857144,491.17589285714286,475.50401785714286,498.34732142857143,584.9107142857143,503.90455357142855,MACHADINHO D'OESTE,1.6304034582132565,1
1100148,RO,149,478.75771812080535,505.3959731543624,480.1409395973154,512.8208053691276,622.2818791946308,519.8794630872483,NOVA BRASILÂNDIA D'OESTE,1.4641255605381165,1
1100155,RO,446,478.582735426009,499.052466367713,484.2645739910314,510.31457399103135,606.5470852017937,515.7522869955158,OURO PRETO DO OESTE,1.883361204013378,1
1100189,RO,363,475.5462809917355,500.38044077134987,487.0561983471074,506.8851239669421,610.7438016528926,516.1223691460056,PIMENTA BUENO,2.087409420289855,1
1100205,RO,7557,477.07639274844513,506.1653036919413,487.6531692470557,506.1894005557761,615.9878258568215,518.614418420008,PORTO VELHO,1.97802633666508,1
1100254,RO,216,482.2046296296296,502.3587962962963,481.38518518518515,514.5907407407408,591.3888888888889,514.3856481481482,PRESIDENTE MÉDICI,1.8971036585365855,1
1100288,RO,907,477.3340683572216,499.42127894156556,478.961190738699,503.83638368246966,587.7177508269019,509.45413450937156,ROLIM DE MOURA,1.865569823434992,1
1100304,RO,1083,487.44949215143123,517.909325946445,497.89178208679596,523.7891966759003,607.4238227146815,526.8927239150509,VILHENA,2.28725015142338,1
1100320,RO,224,467.9049107142857,491.50089285714284,470.3129464285715,497.56874999999997,584.1071428571429,502.27892857142854,SÃO MIGUEL DO GUAPORÉ,1.7028985507246377,0
1100346,RO,153,458.76405228758165,486.2346405228758,463.0960784313725,484.3960784313726,589.6732026143791,496.43281045751627,ALVORADA D'OESTE,1.6489795918367347,0
1100403,RO,74,469.92162162162157,477.56081081081084,461.4608108108108,492.35945945945946,552.4324324324324,490.747027027027,ALTO PARAÍSO,1.5477272727272726,0
1100452,RO,184,455.566847826087,480.54619565217394,464.79021739130434,489.3538043478261,578.804347826087,493.8122826086957,BURITIS,1.7209119496855345,0
1101302,RO,168,482.652380952381,507.4380952380953,483.29761904761904,505.4815476190476,620.2380952380952,519.8215476190477,MIRANTE DA SERRA,2.0424311926605503,1
1101401,RO,91,446.26593406593406,474.6274725274725,465.3582417582417,487.74725274725273,588.1318681318681,492.42615384615385,MONTE NEGRO,1.678030303030303,0
1101492,RO,192,455.7208333333333,468.1255208333334,461.2026041666666,477.6619791666667,573.5416666666666,487.2505208333333,SÃO FRANCISCO DO GUAPORÉ,1.4276315789473684,0
1200013,AC,161,451.39130434782606,486.76149068322985,471.62298136645967,492.0577639751553,573.5403726708074,495.07478260869567,ACRELÂNDIA,1.4683257918552035,0
1200104,AC,210,470.97714285714284,500.86952380952386,494.6452380952381,500.0438095238095,582.8571428571429,509.8785714285714,BRASILÉIA,1.8532303370786516,1
1200203,AC,1757,460.4006829823563,490.98070574843484,475.793796243597,483.5560045532157,603.3352305065453,502.8132840068298,CRUZEIRO DO SUL,1.366722160562338,0
1200252,AC,141,470.3560283687943,499.6070921985816,488.40354609929074,487.23687943262405,592.4822695035461,507.6171631205674,EPITACIOLÂNDIA,1.5909090909090908,1
1200302,AC,174,457.47701149425285,495.10862068965514,486.4166666666667,486.56436781609193,600.4597701149426,505.2052873563218,FEIJÓ,1.2047101449275361,1
1200328,AC,21,442.75714285714287,474.83809523809526,431.87619047619046,472.5190476190476,552.3809523809524,474.87428571428575,JORDÃO,1.103658536585366,0
1200336,AC,213,447.587323943662,476.64741784037557,459.01173708920186,465.0089201877934,597.9342723004695,489.2379342723005,MÂNCIO LIMA,1.0064102564102564,0
1200351,AC,47,445.18510638297874,471.97446808510637,453.37659574468086,453.70851063829787,574.468085106383,479.7425531914893,MARECHAL THAUMATURGO,0.8911764705882353,0
1200385,AC,100,453.98800000000006,473.723,461.70300000000003,477.486,579.8,489.34,PLÁCIDO DE CASTRO,1.4984756097560976,0
1200393,AC,41,445.4365853658537,467.09999999999997,437.1804878048781,453.60731707317075,582.439024390244,477.1526829268293,PORTO WALTER,1.1666666666666667,0
1200401,AC,8273,476.1575365647286,509.7723195938596,493.1740964583585,503.0377493049679,612.9433095612233,519.0170022966277,RIO BRANCO,1.710318757662444,1
1200435,AC,14,485.0357142857143,489.5785714285715,450.8357142857143,494.8357142857143,597.1428571428571,503.4857142857143,SANTA ROSA DO PURUS,2.015625,0
1200450,AC,302,460.42284768211925,492.89039735099334,474.15264900662254,492.25331125827813,584.5695364238411,500.85774834437086,SENADOR GUIOMARD,1.4102708803611739,0
1200500,AC,345,457.884347826087,492.0947826086957,473.55797101449275,485.20463768115945,591.768115942029,500.10197101449285,SENA MADUREIRA,1.4509493670886076,0
1200609,AC,309,448.4864077669902,482.76569579288025,464.8679611650486,482.6478964401295,583.1715210355987,492.3878964401294,TARAUACÁ,1.25,0
1200708,AC,115,478.1434782608696,502.1608695652174,481.7991304347826,502.1521739130435,595.4782608695652,511.9467826086957,XAPURI,2.020967741935484,1
1200807,AC,105,455.0904761904762,496.2790476190477,466.91523809523807,476.10857142857145,571.047619047619,493.08819047619045,PORTO ACRE,0.9552023121387283,0
1300029,AM,135,427.6088888888889,448.38296296296295,423.2437037037037,451.05555555555554,514.9629629629629,453.0508148148148,ALVARÃES,0.8131313131313131,0
1300086,AM,99,434.3939393939394,465.4070707070707,449.4949494949495,467.9262626262626,525.4545454545455,468.5353535353535,ANAMÃ,0.801906779661017,0
1300102,AM,115,443.52608695652174,455.02869565217395,444.38956521739135,457.10347826086957,538.6086956521739,467.73130434782604,ANORI,0.814179104477612,0
1300144,AM,81,461.57283950617284,485.83456790123455,461.8296296296296,499.320987654321,519.2592592592592,485.5634567901235,APUÍ,1.4884615384615385,0
1300300,AM,195,434.38666666666666,451.52512820512817,433.81128205128203,451.07948717948716,538.5641025641025,461.87333333333333,AUTAZES,0.7549618320610687,0
1300409,AM,121,449.65041322314045,484.0669421487603,459.3487603305785,466.74462809917355,552.5619834710744,482.4745454545455,BARCELOS,1.2168367346938775,0
1300508,AM,313,440.62523961661344,462.308945686901,440.4092651757189,449.0111821086262,532.779552715655,465.0268370607029,BARREIRINHA,0.6196483180428135,0
1300607,AM,382,424.1049738219895,440.8452879581152,415.67958115183245,441.2458115183246,487.22513089005236,441.8201570680629,BENJAMIN CONSTANT,0.5966981132075472,0
1300631,AM,94,438.7882978723404,458.39148936170216,441.58085106382975,465.30638297872343,551.9148936170212,471.1963829787234,BERURI,0.6666666666666666,0
1300680,AM,175,434.38971428571426,451.7034285714286,432.96514285714284,446.2491428571429,525.9428571428572,458.25005714285714,BOA VISTA DO RAMOS,0.6669054441260746,0
1300706,AM,234,455.11495726495724,476.94871794871796,474.20384615384614,484.62179487179486,576.8376068376068,493.5453846153846,BOCA DO ACRE,1.474740932642487,0
1300805,AM,121,425.40247933884297,450.195041322314,436.44710743801653,454.69752066115706,535.2066115702479,460.38975206611565,BORBA,0.705625,0
1300839,AM,56,427.72499999999997,450.79464285714283,432.175,458.68392857142857,516.4285714285714,457.1614285714286,CAAPIRANGA,0.5775862068965517,0
